WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00527SLOC,,BOULDER(BOULDER LAKE),3.53556279,748.1357,1774,-117.8004922,49.56447402,890,1200,2,3,6,19,56,137,246,260,123,29,5,2,2,Regional,4W,,555
00848UARL,BOX LAKE,BOX,70.66788486,4120.7046,584,-117.7162288,50.20926296,1801,867,6,12,34,90,207,322,408,387,226,80,21,8,3,Family,4W,,556
00759UARL,CAMERON LAKE,CAMERON,37.39638857,3341.0826,954,-117.999225,50.31424168,1446,948,4,8,22,55,151,257,350,340,191,53,11,4,2,Regional,4W,,557
00650UARL,CATHERINE LAKE,CATHERINE(KATHLEEN),29.35607092,2462.8379,821,-117.967387,50.40311591,1560,846,4,8,24,65,172,280,369,355,205,62,13,4,2,Regional,4W,,558
00339LARL,CHAMPION LAKES,CHAMPION 1ST(CHAMPION LAKE #1 (LOWER)),10.69630392,3192.22,1045,-117.6387086,49.19323384,1575,812,1,2,10,52,164,269,386,382,228,72,8,1,4,Quality,4W,,559
00346LARL,CHAMPION LAKES,CHAMPION 2ND(CHAMPION LAKE #2 (MIDDLE)),14.53128204,2851.7931,1048,-117.6244309,49.18898976,1571,852,1,2,10,52,163,268,384,382,228,72,8,1,3,Quality,4W,,560
00352LARL,CHAMPION LAKES,CHAMPION 3RD(CHAMPION LAKE #3 (UPPER)),13.61849009,1772.392,1051,-117.6123692,49.18506537,1571,868,1,2,10,52,163,268,384,382,227,72,8,1,5,Family,4W,,561
00595KOTL,COTTONWOOD LAKE,COTTONWOOD,5.7363706,1180.2404,890,-117.2528807,49.42853095,1678,1324,5,13,28,72,177,280,390,390,228,72,16,6,4,Family,4W,,562
00212DUNC,DUNCAN LAKE,DUNCAN RESERVOIR,7199.065388,128884.4755,580,-116.9533794,50.34583542,1735,796,6,11,33,88,198,303,393,374,218,83,21,8,20,Family,4W,,563
00053KOTL,FISH LAKE,FISH,5.45105127,1229.9151,1073,-117.1833321,50.04462953,1420,1137,3,8,20,48,129,247,359,353,196,47,8,3,4,Regional,4W,,564
00437DUNC,,GREY HORSE #1,0.83941374,440.3008,810,-117.0255357,50.3263646,1544,841,4,9,26,67,162,274,369,352,199,64,14,5,1,Regional,4W,,565
00466DUNC,,GREY HORSE #2(GREY HORSE #2 LAKE),1.02412609,450.12,1023,-116.9962044,50.29499023,1345,844,3,6,17,49,121,241,342,327,177,49,9,4,1,Regional,4W,,566
00017SLOC,HAMLING LAKES,HAMLING #1,4.70847149,989.002,1830,-117.5307552,50.26252314,678,1571,2,3,6,17,44,109,206,193,77,17,3,1,1,Regional,4W,,567
00014SLOC,HAMLING LAKES,HAMLING #2,4.22433104,765.9689,1837,-117.5223301,50.26641392,675,1621,2,3,6,17,44,109,205,192,76,16,3,1,1,Regional,4W,,568
